
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Isabella', 'Fernandez', 'MicroTech', 'isabella.fernandez@example.com', '124-675-8910', 'Estados Unidos', 'User information saved.', '47', '2007-06-13 00:00:00', 'Femenino', 'Desarrollador/a de aplicaciones móviles', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Isabella', 'Fernandez', 'MicroTech', 'isabella.fernandez@example.com', '124-675-8910', 'Estados Unidos', 'User information saved.', '64', '2017-09-17 00:00:00', 'Femenino', 'Ingeniero/a de sistemas', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Mateo', 'Silva', 'PicoTech', 'mateo.silva@example.com', '587-312-4560', 'Brasil', 'User information saved.', '49', '2014-06-13 00:00:00', 'Masculino', 'Desarrollador/a de aplicaciones móviles', 'divorciado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Camila', 'Morales', 'PicoTech', 'camila.morales@example.com', '369-840-5721', 'Chile', NULL, '32', '2017-05-26 00:00:00', 'Femenino', 'Ingeniero/a de datos', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Nicolas', 'Ortega', 'PicoTech', 'nicolas.ortega@example.com', '743-610-3985', 'Perú', 'User information saved.', '62', '2005-11-28 00:00:00', 'Masculino', 'Diseñador/a de interfaces de usuario (UI)', 'casado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Lucia', 'Herrera', 'PicoTech', 'lucia.herrera@example.com', '215-978-4632', 'Italia', NULL, '24', '2018-01-18 00:00:00', 'Femenino', 'Desarrollador/a de software', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Leonardo', 'Castro', 'NanoTech', 'leonardo.castro@example.com', '871-203-5874', 'Francia', 'User information saved.', '27', '2023-09-19 00:00:00', 'Masculino', 'Ingeniero/a de datos', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Victoria', 'Jimenez', 'NanoTech', 'victoria.jimenez@example.com', '509-126-7348', 'Canadá', NULL, '19', '2015-01-21 00:00:00', 'Femenino', 'Ingeniero/a de sistemas', 'casado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Andres', 'Rojas', 'PicoTech', 'andres.rojas@example.com', '398-574-0216', 'Venezuela', 'User information saved.', '65', '2006-05-11 00:00:00', 'Masculino', 'Diseñador/a de experiencia de usuario (UX)', 'divorciado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Martina', 'Diaz', 'PicoTech', 'martina.diaz@example.com', '632-840-1957', 'Alemania', 'User information saved.', '58', '2012-03-26 00:00:00', 'Femenino', 'Arquitecto/a de software', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Diego', 'Sanchez', 'NanoTech', 'diego.sanchez@example.com', '176-943-5082', 'Ecuador', NULL, '43', '2008-08-13 00:00:00', 'Masculino', 'Desarrollador/a de aplicaciones móviles', 'casado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Natalia', 'Paredes', 'MicroTech', 'natalia.paredes@example.com', '950-751-4263', 'Australia', 'User information saved.', '24', '2007-04-03 00:00:00', 'Femenino', 'Ingeniero/a de datos', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Luis', 'Garcia', 'NanoTech', 'luis.garcia@example.com', '304-785-2093', 'México', NULL, '20', '2021-10-03 00:00:00', 'Masculino', 'Ingeniero/a de sistemas', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Carolina', 'Fernandez', 'PicoTech', 'carolina.fernandez@example.com', '521-987-6043', 'España', NULL, '61', '2003-01-22 00:00:00', 'Femenino', 'Desarrollador/a de software', 'soltero',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Ricardo', 'Silva', 'PicoTech', 'ricardo.silva@example.com', '678-312-4059', 'Argentina', 'User information saved.', '36', '2021-02-05 00:00:00', 'Masculino', 'Diseñador/a de interfaces de usuario (UI)', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Maria', 'Gonzalez', 'NanoTech', 'maria.gonzalez@example.com', '425-630-1947', 'Colombia', 'User information saved.', '33', '2006-12-26 00:00:00', 'Femenino', 'Ingeniero/a de datos', 'soltero',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Juan', 'Martinez', 'MicroTech', 'juan.martinez@example.com', '736-891-5240', 'Chile', NULL, '23', '2018-07-10 00:00:00', 'Masculino', 'Desarrollador/a de aplicaciones móviles', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Paola', 'Hernandez', 'PicoTech', 'paola.hernandez@example.com', '192-648-7035', 'Perú', 'User information saved.', '29', '2009-05-13 00:00:00', 'Femenino', 'Diseñador/a de experiencia de usuario (UX)', 'divorciado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Pedro', 'Morales', 'PicoTech', 'pedro.morales@example.com', '809-572-4316', 'Venezuela', NULL, '36', '2018-08-17 00:00:00', 'Masculino', 'Ingeniero/a de sistemas', 'casado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Laura', 'Rojas', 'PicoTech', 'laura.rojas@example.com', '513-270-9618', 'Brasil', 'User information saved.', '49', '2008-08-14 00:00:00', 'Femenino', 'Arquitecto/a de software', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Andrea', 'Perez', 'PicoTech', 'andrea.perez@example.com', '947-863-1052', 'Estados Unidos', 'User information saved.', '45', '2013-05-03 00:00:00', 'Femenino', 'Desarrollador/a de software', 'soltero',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Carlos', 'Diaz', 'NanoTech', 'carlos.diaz@example.com', '356-724-8109', 'Italia', NULL, '35', '2021-08-01 00:00:00', 'Masculino', 'Ingeniero/a de datos', 'casado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Ana', 'Jimenez', 'NanoTech', 'ana.jimenez@example.com', '618-539-2784', 'Francia', 'User information saved.', '46', '2020-02-04 00:00:00', 'Femenino', 'Ingeniero/a de sistemas', 'casado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Fernando', 'Sanchez', 'PicoTech', 'fernando.sanchez@example.com', '758-320-4967', 'Canadá', 'User information saved.', '49', '2004-04-06 00:00:00', 'Masculino', 'Desarrollador/a de aplicaciones móviles', 'divorciado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Julia', 'Castro', 'PicoTech', 'julia.castro@example.com', '306-791-4025', 'Alemania', NULL, '54', '2003-09-23 00:00:00', 'Femenino', 'Diseñador/a de interfaces de usuario (UI)', 'divorciado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Diego', 'Martinez', 'NanoTech', 'diego.martinez@example.com', '194-685-0273', 'Australia', NULL, '27', '2019-02-08 00:00:00', 'Masculino', 'Ingeniero/a de datos', 'soltero',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Carmen', 'Lopez', 'MicroTech', 'carmen.lopez@example.com', '860-971-5423', 'Ecuador', NULL, '60', '2012-02-16 00:00:00', 'Femenino', 'Arquitecto/a de software', 'divorciado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Gabriel', 'Ramirez', 'PicoTech', 'gabriel.ramirez@example.com', '421-763-0859', 'Portugal', 'User information saved.', '37', '2016-07-12 00:00:00', 'Masculino', 'Desarrollador/a de software', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Alejandra', 'Fernandez', 'PicoTech', 'alejandra.fernandez@example.com', '539-206-8104', 'Suiza', 'User information saved.', '46', '2008-04-15 00:00:00', 'Femenino', 'Ingeniero/a de sistemas', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Raul', 'Morales', 'PicoTech', 'raul.morales@example.com', '827-469-3015', 'India', NULL, '48', '2019-07-04 00:00:00', 'Masculino', 'Diseñador/a de experiencia de usuario (UX)', 'soltero',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Silvia', 'Perez', 'PicoTech', 'silvia.perez@example.com', '610-825-1473', 'Sudáfrica', 'User information saved.', '60', '2020-01-14 00:00:00', 'Femenino', 'Ingeniero/a de datos', 'divorciado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Miguel', 'Rojas', 'NanoTech', 'miguel.rojas@example.com', '395-827-1047', 'Rusia', NULL, '43', '2014-06-23 00:00:00', 'Masculino', 'Desarrollador/a de aplicaciones móviles', 'casado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Emma', 'Johnson', 'PicoTech', 'emma.johnson@example.com', '789-543-2101', 'Estados Unidos', 'User information saved.', '60', '2006-05-17 00:00:00', 'Femenino', 'Desarrollador/a de software', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Oliver', 'Smith', 'PicoTech', 'oliver.smith@example.com', '234-678-9012', 'Reino Unido', 'User information saved.', '52', '2007-11-26 00:00:00', 'Masculino', 'Ingeniero/a de sistemas', 'casado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Sophia', 'Kim', 'PicoTech', 'sophia.kim@example.com', '456-789-0123', 'Corea del Sur', NULL, '26', '2012-01-18 00:00:00', 'Femenino', 'Ingeniero/a de datos', 'casado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Matteo', 'Rossi', 'NanoTech', 'matteo.rossi@example.com', '789-012-3456', 'Italia', NULL, '31', '2004-02-17 00:00:00', 'Masculino', 'Arquitecto/a de software', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Emilie', 'Dupont', 'NanoTech', 'emilie.dupont@example.com', '234-567-8901', 'Francia', 'User information saved.', '51', '2022-06-02 00:00:00', 'Femenino', 'Diseñador/a de interfaces de usuario (UI)', 'soltero',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Maximilian', 'Müller', 'PicoTech', 'maximilian.muller@example.com', '678-901-2345', 'Alemania', NULL, '31', '2005-05-27 00:00:00', 'Masculino', 'Desarrollador/a de aplicaciones móviles', 'soltero',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Liam', 'Nguyen', 'PicoTech', 'liam.nguyen@example.com', '901-234-5678', 'Vietnam', NULL, '51', '2022-03-17 00:00:00', 'Masculino', 'Ingeniero/a de datos', 'soltero',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Eva', 'García', 'NanoTech', 'eva.garcia@example.com', '345-678-9012', 'España', 'User information saved.', '28', '2015-03-13 00:00:00', 'Femenino', 'Ingeniero/a de sistemas', 'soltero',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Alexander', 'Petrov', 'MicroTech', 'alexander.petrov@example.com', '678-901-2345', 'Rusia', NULL, '40', '2021-05-20 00:00:00', 'Masculino', 'Diseñador/a de experiencia de usuario (UX)', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Ava', 'Hernandez', 'PicoTech', 'ava.hernandez@example.com', '901-234-5678', 'Mexico', NULL, '39', '2013-01-19 00:00:00', 'Femenino', 'Desarrollador/a de software', 'divorciado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Noah', 'Suzuki', 'PicoTech', 'noah.suzuki@example.com', '123-456-7890', 'Japón', 'User information saved.', '37', '2023-01-25 00:00:00', 'Masculino', 'Ingeniero/a de datos', 'divorciado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Emma', 'Ali', 'PicoTech', 'emma.ali@example.com', '567-890-1234', 'Pakistan', 'User information saved.', '63', '2015-05-21 00:00:00', 'Femenino', 'Arquitecto/a de software', 'divorciado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Lucas', 'Martinez', 'PicoTech', 'lucas.martinez@example.com', '890-123-4567', 'Argentina', 'User information saved.', '28', '2013-12-27 00:00:00', 'Masculino', 'Desarrollador/a de aplicaciones móviles', 'soltero',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Sophie', 'Johansson', 'NanoTech', 'sophie.johansson@example.com', '234-567-8901', 'Suecia', NULL, '34', '2007-05-08 00:00:00', 'Femenino', 'Ingeniero/a de sistemas', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Leonardo', 'Silva', 'PicoTech', 'leonardo.dasilva@example.com', '678-901-2345', 'Brasil', 'User information saved.', '47', '2006-11-09 00:00:00', 'Masculino', 'Diseñador/a de interfaces de usuario (UI)', 'soltero',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Emma', 'Schneider', 'PicoTech', 'emma.schneider@example.com', '901-234-5678', 'Suiza', NULL, '47', '2021-01-07 00:00:00', 'Femenino', 'Ingeniero/a de datos', 'casado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Muhammad', 'Khan', 'PicoTech', 'muhammad.khan@example.com', '123-456-7890', 'Vietnam', 'User information saved.', '58', '2020-03-09 00:00:00', 'Masculino', 'Desarrollador/a de software', 'soltero',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Sophia', 'Nguyen', 'NanoTech', 'sophia.nguyen@example.com', '567-890-1234', 'Alemania', 'User information saved.', '18', '2008-09-03 00:00:00', 'Femenino', 'Diseñador/a de experiencia de usuario (UX)', 'divorciado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Aiden', 'Müller', 'NanoTech', 'aiden.muller@example.com', '890-123-4567', 'España', NULL, '22', '2014-11-14 00:00:00', 'Masculino', 'Ingeniero/a de sistemas', 'divorciado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Olivia', 'Lopez', 'PicoTech', 'olivia.lopez@example.com', '234-567-8901', 'Alemania', 'User information saved.', '41', '2019-05-25 00:00:00', 'Femenino', 'Arquitecto/a de software', 'divorciado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Sofia', 'Müller', 'PicoTech', 'sofia.muller@example.com', '123-456-7890', 'Alemania', 'User information saved.', '53', '2001-05-14 00:00:00', 'Femenino', 'Desarrollador/a de aplicaciones móviles', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Javier', 'Rodríguez', 'PicoTech', 'javier.rodriguez@example.com', '234-567-8901', 'España', 'User information saved.', '21', '2004-07-27 00:00:00', 'Masculino', 'Ingeniero/a de datos', 'casado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Aya', 'Tanaka', 'PicoTech', 'aya.tanaka@example.com', '345-678-9012', 'Japón', 'User information saved.', '59', '2023-10-06 00:00:00', 'Femenino', 'Ingeniero/a de sistemas', 'divorciado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Andrei', 'Petrov', 'NanoTech', 'andrei.petrov@example.com', '456-789-0123', 'Rusia', NULL, '57', '2013-09-02 00:00:00', 'Femenino', 'Diseñador/a de interfaces de usuario (UI)', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Isabella', 'Rossi', 'PicoTech', 'isabella.rossi@example.com', '567-890-1234', 'Italia', 'User information saved.', '54', '2011-11-17 00:00:00', 'Femenino', 'Desarrollador/a de software', 'divorciado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Lucas', 'Leclerc', 'PicoTech', 'lucas.leclerc@example.com', '678-901-2345', 'Francia', NULL, '39', '2013-05-22 00:00:00', 'Masculino', 'Ingeniero/a de datos', 'soltero',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Alexei', 'Volkov', 'PicoTech', 'alexei.volkov@example.com', '789-012-3456', 'Rusia', 'User information saved.', '47', '2017-04-05 00:00:00', 'Masculino', 'Arquitecto/a de software', 'casado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Mei', 'Chen', 'NanoTech', 'mei.chen@example.com', '890-123-4567', 'China', 'User information saved.', '37', '2017-03-09 00:00:00', 'Femenino', 'Desarrollador/a de aplicaciones móviles', 'casado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Maria', 'Gutiérrez', 'NanoTech', 'maria.gutierrez@example.com', '901-234-5678', 'España', NULL, '61', '2004-02-11 00:00:00', 'Femenino', 'Diseñador/a de experiencia de usuario (UX)', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Yukiko', 'Tanaka', 'PicoTech', 'yukiko.tanaka@example.com', '012-345-6789', 'Japón', NULL, '53', '2023-03-05 00:00:00', 'Femenino', 'Ingeniero/a de sistemas', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Fabio', 'Ferrari', 'PicoTech', 'fabio.ferrari@example.com', '123-456-7890', 'Italia', 'User information saved.', '60', '2014-02-22 00:00:00', 'Masculino', 'Ingeniero/a de datos', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Emilia', 'Kovacevic', 'NanoTech', 'emilia.kovacevic@example.com', '234-567-8901', 'Croacia', NULL, '35', '2023-09-09 00:00:00', 'Femenino', 'Desarrollador/a de software', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Arthur', 'Santos', 'MicroTech', 'arthur.santos@example.com', '345-678-9012', 'Brasil', 'User information saved.', '35', '2022-09-20 00:00:00', 'Masculino', 'Diseñador/a de interfaces de usuario (UI)', 'casado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Mia', 'Andersen', 'PicoTech', 'mia.andersen@example.com', '456-789-0123', 'Dinamarca', 'User information saved.', '18', '2022-08-22 00:00:00', 'Femenino', 'Arquitecto/a de software', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Greta', 'Schmitt', 'PicoTech', 'greta.schmitt@example.com', '567-890-1234', 'Alemania', 'User information saved.', '51', '2023-05-07 00:00:00', 'Femenino', 'Ingeniero/a de sistemas', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Esteban', 'Vargas', 'PicoTech', 'esteban.vargas@example.com', '678-901-2345', 'Costa Rica', NULL, '46', '2005-01-27 00:00:00', 'Masculino', 'Desarrollador/a de aplicaciones móviles', 'divorciado',)
